Max Extraction,1 mil,10 mil,100 mil
127200,47.96,39.73,38.91
127800,47.95,39.73,38.91
128400,47.95,39.73,38.91
129000,47.94,39.73,38.91
129600,47.93,39.73,38.91
130200,47.93,39.73,38.91
130800,47.92,39.73,38.91
131400,47.92,39.73,38.91
132000,47.91,39.73,38.91
132600,47.91,39.73,38.91
133200,47.9,39.73,38.91
133800,47.89,39.73,38.91
134400,47.89,39.73,38.91
135000,47.88,39.73,38.91
135600,47.88,39.72,38.91
136200,47.87,39.72,38.91
136800,47.86,39.72,38.91
137400,47.86,39.72,38.91
138000,47.85,39.72,38.91
138600,47.85,39.72,38.91
139200,47.84,39.72,38.91
139800,47.84,39.72,38.91
140400,47.83,39.72,38.91
141000,47.82,39.72,38.91
141600,47.82,39.72,38.91
142200,47.81,39.72,38.91
142800,47.81,39.72,38.91
143400,47.8,39.72,38.91
144000,47.8,39.72,38.91
144600,47.79,39.72,38.91
145200,47.78,39.72,38.91
145800,47.78,39.71,38.91
146400,47.77,39.71,38.91
147000,47.77,39.71,38.91
147600,47.76,39.71,38.91
148200,47.75,39.71,38.91
148800,47.75,39.71,38.91
149400,47.74,39.71,38.91
150000,47.74,39.71,38.91
150600,47.73,39.71,38.91
151200,47.72,39.71,38.91
151800,47.71,39.71,38.91
152400,47.7,39.71,38.91
153000,47.69,39.71,38.91
153600,47.68,39.7,38.91
154200,47.67,39.7,38.91
154800,47.66,39.7,38.91
155400,47.65,39.7,38.91
156000,47.64,39.7,38.91
156600,47.63,39.7,38.91
157200,47.62,39.7,38.91
157800,47.61,39.7,38.91
158400,47.6,39.7,38.91
159000,47.59,39.7,38.91
159600,47.58,39.7,38.91
160200,47.57,39.69,38.91
160800,47.56,39.69,38.91
161400,47.55,39.69,38.91
162000,47.54,39.69,38.91
162600,47.53,39.69,38.91
163200,47.52,39.69,38.91
163800,47.51,39.69,38.91
164400,47.5,39.69,38.91
165000,47.49,39.69,38.91
165600,47.48,39.69,38.91
166200,47.48,39.68,38.91
166800,47.47,39.68,38.91
167400,47.46,39.68,38.91
168000,47.45,39.68,38.91
168600,47.44,39.68,38.91
169200,47.43,39.68,38.9
169800,47.42,39.68,38.9
170400,47.41,39.68,38.9
171000,47.4,39.68,38.9
171600,47.39,39.68,38.9
172200,47.38,39.67,38.9
172800,47.37,39.67,38.9
173400,47.35,39.67,38.9
174000,47.33,39.67,38.9
174600,47.31,39.67,38.9
175200,47.29,39.67,38.9
175800,47.27,39.66,38.9
176400,47.25,39.66,38.9
177000,47.23,39.66,38.9
177600,47.2,39.66,38.9
178200,47.18,39.66,38.9
178800,47.16,39.65,38.9
179400,47.14,39.65,38.9
180000,47.12,39.65,38.9
180600,47.1,39.65,38.9
181200,47.08,39.64,38.9
181800,47.06,39.64,38.9
182400,47.03,39.64,38.9
183000,47.01,39.64,38.9
183600,46.99,39.64,38.9
184200,46.97,39.63,38.9
184800,46.95,39.63,38.9
185400,46.93,39.63,38.9
186000,46.91,39.63,38.9
186600,46.88,39.63,38.9
187200,46.86,39.62,38.9
187800,46.84,39.62,38.9
188400,46.82,39.62,38.9
189000,46.8,39.62,38.9
189600,46.78,39.61,38.9
190200,46.76,39.61,38.9
190800,46.73,39.61,38.9
191400,46.71,39.61,38.9
192000,46.69,39.61,38.9
192600,46.67,39.6,38.9
193200,46.65,39.6,38.9
193800,46.63,39.6,38.9
194400,46.61,39.6,38.9
195000,46.58,39.6,38.9
195600,46.56,39.59,38.9
196200,46.54,39.59,38.9
196800,46.52,39.59,38.9
197400,46.5,39.59,38.9
198000,46.48,39.58,38.9
198600,46.46,39.58,38.9
199200,46.43,39.58,38.89
199800,46.41,39.58,38.89
200400,46.39,39.58,38.89
201000,46.37,39.57,38.89
201600,46.35,39.57,38.89
202200,46.33,39.57,38.89
202800,46.31,39.57,38.89
203400,46.28,39.57,38.89
204000,46.26,39.56,38.89
204600,46.24,39.56,38.89
205200,46.22,39.56,38.89
205800,46.2,39.56,38.89
206400,46.18,39.55,38.89
207000,46.16,39.55,38.89
207600,46.13,39.55,38.89
208200,46.11,39.55,38.89
208800,46.09,39.55,38.89
209400,46.07,39.54,38.89
210000,46.05,39.54,38.89
210600,46.03,39.54,38.89
211200,46.01,39.54,38.89
211800,45.98,39.54,38.89
212400,45.96,39.53,38.89
213000,45.94,39.53,38.89
213600,45.92,39.53,38.89
214200,45.9,39.53,38.89
214800,45.88,39.52,38.89
215400,45.86,39.52,38.89
216000,45.83,39.52,38.89
216600,45.81,39.52,38.89
217200,45.79,39.52,38.89
217800,45.77,39.51,38.89
218400,45.75,39.51,38.89
219000,45.73,39.51,38.89
219600,45.71,39.51,38.89
220200,45.68,39.51,38.89
220800,45.66,39.5,38.89
221400,45.63,39.5,38.89
222000,45.61,39.5,38.89
222600,45.58,39.5,38.89
223200,45.56,39.49,38.89
223800,45.53,39.49,38.89
224400,45.51,39.49,38.89
225000,45.48,39.48,38.89
225600,45.45,39.48,38.89
226200,45.43,39.48,38.88
226800,45.4,39.48,38.88
227400,45.38,39.47,38.88
228000,45.35,39.47,38.88
228600,45.33,39.47,38.88
229200,45.3,39.47,38.88
229800,45.28,39.46,38.88
230400,45.25,39.46,38.88
231000,45.23,39.46,38.88
231600,45.2,39.46,38.88
232200,45.18,39.45,38.88
232800,45.15,39.45,38.88
233400,45.13,39.45,38.88
234000,45.1,39.45,38.88
234600,45.07,39.44,38.88
235200,45.05,39.44,38.88
235800,45.02,39.44,38.88
236400,45,39.44,38.88
237000,44.97,39.43,38.88
237600,44.95,39.43,38.88
238200,44.92,39.43,38.88
238800,44.9,39.43,38.88
239400,44.87,39.42,38.88
240000,44.85,39.42,38.88
240600,44.82,39.42,38.88
241200,44.8,39.42,38.88
241800,44.77,39.41,38.88
242400,44.75,39.41,38.88
243000,44.72,39.41,38.88
243600,44.69,39.41,38.88
244200,44.67,39.4,38.88
244800,44.64,39.4,38.88
245400,44.62,39.4,38.88
246000,44.59,39.4,38.88
246600,44.57,39.39,38.88
247200,44.53,39.39,38.88
247800,44.49,39.39,38.88
248400,44.45,39.38,38.88
249000,44.4,39.38,38.87
249600,44.36,39.37,38.87
250200,44.32,39.37,38.87
250800,44.28,39.36,38.87
251400,44.24,39.36,38.87
252000,44.19,39.36,38.87
252600,44.15,39.35,38.87
253200,44.11,39.35,38.87
253800,44.07,39.34,38.87
254400,44.02,39.34,38.87
255000,43.98,39.34,38.87
255600,43.94,39.33,38.87
256200,43.9,39.33,38.87
256800,43.86,39.32,38.87
257400,43.81,39.32,38.87
258000,43.77,39.31,38.87
258600,43.71,39.31,38.87
259200,43.66,39.31,38.87
259800,43.6,39.3,38.87
260400,43.54,39.3,38.87
261000,43.51,39.29,38.87
261600,43.47,39.29,38.87
262200,43.42,39.28,38.87
262800,43.37,39.28,38.87
263400,43.32,39.28,38.86
264000,43.27,39.27,38.86
264600,43.22,39.27,38.86
265200,43.16,39.26,38.86
265800,43.13,39.26,38.86
266400,43.1,39.26,38.86
267000,43.08,39.25,38.86
267600,43.04,39.25,38.86
268200,42.99,39.24,38.86
268800,42.95,39.24,38.86
269400,42.91,39.23,38.86
270000,42.87,39.23,38.86
270600,42.82,39.23,38.86
271200,42.78,39.22,38.86
271800,42.73,39.22,38.86
272400,42.69,39.21,38.86
273000,42.66,39.21,38.86
273600,42.63,39.2,38.86
274200,42.61,39.2,38.86
274800,42.59,39.2,38.86
275400,42.57,39.19,38.86
276000,42.54,39.19,38.86
276600,42.5,39.18,38.86
277200,42.47,39.18,38.85
277800,42.43,39.18,38.85
278400,42.4,39.17,38.85
279000,42.36,39.17,38.85
279600,42.33,39.16,38.85
280200,42.29,39.16,38.85
280800,42.25,39.15,38.85
281400,42.21,39.15,38.85
282000,42.18,39.15,38.85
282600,42.14,39.14,38.85
283200,42.1,39.14,38.85
283800,42.08,39.13,38.85
284400,42.06,39.13,38.85
285000,42.04,39.12,38.85
285600,42.03,39.12,38.85
286200,42.01,39.12,38.85
286800,41.99,39.11,38.85
287400,41.97,39.11,38.85
288000,41.96,39.1,38.85
288600,41.94,39.1,38.85
289200,41.91,39.1,38.85
289800,41.89,39.09,38.85
290400,41.86,39.09,38.85
291000,41.83,39.08,38.85
291600,41.8,39.08,38.84
292200,41.77,39.07,38.84
292800,41.74,39.07,38.84
293400,41.71,39.07,38.84
294000,41.68,39.06,38.84
294600,41.65,39.06,38.84
295200,41.62,39.05,38.84
295800,41.59,39.05,38.84
296400,41.56,39.04,38.84
297000,41.53,39.04,38.84
297600,41.5,39.04,38.84
298200,41.47,39.03,38.84
298800,41.44,39.03,38.84
299400,41.41,39.02,38.84
